Axis1,Axis2,Axis3,Vector Magnitude,RR,label
71,21,150,167.28,0.707,1
52,50,123,142.59,0.713,1
43,13,60,74.95,0.716,1
21,16,52,58.32,0.709,1
0,0,0,0.0,0.712,1
0,0,0,0.0,0.559,1
0,0,0,0.0,0.871,1
0,0,0,0.0,0.698,1
0,0,0,0.0,0.75,1
0,0,0,0.0,0.729,1
0,0,0,0.0,0.734,1
0,0,0,0.0,0.721,1
0,0,0,0.0,0.723,1
0,0,0,0.0,0.711,1
0,0,0,0.0,0.696,1
0,0,0,0.0,0.696,1
0,0,0,0.0,0.701,1
0,0,0,0.0,0.719,1
0,0,0,0.0,0.716,1
0,0,0,0.0,0.722,1
0,0,0,0.0,0.727,1
0,0,0,0.0,0.728,1
0,0,0,0.0,0.417,1
0,0,0,0.0,0.3,1
0,0,0,0.0,0.735,1
0,0,0,0.0,0.671,1
0,0,0,0.0,0.358,1
0,0,0,0.0,0.453,1
0,0,0,0.0,0.307,1
0,0,0,0.0,0.399,1
0,0,0,0.0,0.388,1
0,0,0,0.0,0.284,1
0,0,0,0.0,0.268,1
0,0,0,0.0,0.269,1
0,0,0,0.0,0.275,1
0,0,0,0.0,2.168,1
0,0,0,0.0,0.281,1
0,0,0,0.0,0.269,1
0,0,0,0.0,0.399,1
0,0,0,0.0,0.293,1
0,0,0,0.0,0.302,1
0,0,0,0.0,0.796,1
0,0,0,0.0,0.277,1
0,0,0,0.0,0.452,1
0,0,0,0.0,5.237,1
0,0,0,0.0,0.655,1
0,0,0,0.0,0.397,1
0,0,0,0.0,0.34,1
0,0,0,0.0,0.266,1
0,0,0,0.0,0.287,1
0,0,0,0.0,3.979,1
0,0,0,0.0,0.73,1
0,0,0,0.0,0.722,1
0,0,0,0.0,0.724,1
0,0,0,0.0,0.739,1
0,0,0,0.0,0.745,1
0,0,0,0.0,0.743,1
0,0,0,0.0,0.729,1
0,0,0,0.0,0.337,1
0,0,0,0.0,0.632,1
0,0,0,0.0,0.484,1
0,0,0,0.0,0.255,1
0,0,0,0.0,0.805,1
0,0,0,0.0,2.847,1
0,0,0,0.0,0.685,1
0,0,0,0.0,0.343,1
13,0,12,17.69,0.37,1
60,57,43,93.26,0.694,1
36,64,90,116.16,0.309,1
77,8,144,163.49,0.257,1
108,28,92,144.61,0.291,1
62,51,134,156.21,1.84,1
4,0,88,88.09,0.349,1
0,0,25,25.0,0.306,1
0,0,0,0.0,0.288,1
0,0,0,0.0,0.275,1
0,0,0,0.0,0.445,1
7,0,0,7.0,1.148,1
0,0,0,0.0,0.638,1
6,0,0,6.0,0.301,1
5,0,0,5.0,0.427,1
78,150,183,249.14,0.273,1
33,146,164,222.04,1.394,1
55,6,85,101.42,0.342,1
0,0,10,10.0,0.363,1
0,0,0,0.0,0.293,1
0,0,0,0.0,0.273,1
0,0,0,0.0,0.272,1
0,0,0,0.0,0.281,1
0,0,0,0.0,0.433,1
0,0,0,0.0,1.381,1
0,0,0,0.0,1.084,1
0,0,0,0.0,0.304,1
0,0,0,0.0,1.489,1
