Axis1,Axis2,Axis3,Vector Magnitude,RR,label
0,0,0,0.0,1.849,0
0,0,0,0.0,0.282,0
0,0,0,0.0,0.46,0
0,0,0,0.0,0.254,0
0,0,0,0.0,0.314,0
0,0,0,0.0,2.678,0
0,0,0,0.0,5.697,0
0,0,0,0.0,0.278,0
0,0,0,0.0,0.259,0
0,0,0,0.0,0.792,0
2,2,18,18.22,0.836,0
17,0,103,104.39,0.406,0
0,0,33,33.0,0.419,0
0,0,44,44.0,3.563,0
34,3,102,107.56,1.392,0
0,0,17,17.0,0.673,0
12,0,47,48.51,0.684,0
0,0,0,0.0,0.686,0
0,0,0,0.0,0.689,0
0,0,0,0.0,0.681,0
0,0,0,0.0,0.693,0
0,0,0,0.0,0.695,0
0,0,0,0.0,0.692,0
0,0,0,0.0,0.7,0
0,0,0,0.0,0.706,0
0,0,0,0.0,0.37,0
0,0,0,0.0,0.33,0
0,0,0,0.0,0.702,0
0,0,0,0.0,0.71,0
0,0,0,0.0,0.709,0
0,0,0,0.0,0.712,0
0,0,0,0.0,0.721,0
0,0,0,0.0,0.395,0
0,0,0,0.0,0.336,0
0,0,0,0.0,0.281,0
0,0,0,0.0,0.323,0
0,0,0,0.0,0.891,0
0,0,0,0.0,0.753,0
0,0,0,0.0,0.731,0
0,0,0,0.0,0.724,0
0,0,0,0.0,0.723,0
0,0,0,0.0,0.729,0
0,0,0,0.0,0.349,0
0,0,0,0.0,0.271,0
0,0,0,0.0,0.389,0
0,0,0,0.0,2.614,0
0,0,0,0.0,0.736,0
0,0,0,0.0,0.743,0
0,0,0,0.0,0.748,0
0,0,0,0.0,0.733,0
0,0,0,0.0,0.735,0
0,0,0,0.0,0.389,0
0,0,0,0.0,0.282,0
0,0,0,0.0,0.826,0
0,0,0,0.0,0.751,0
0,0,0,0.0,0.743,0
0,0,0,0.0,0.739,0
0,0,0,0.0,0.73,0
0,0,0,0.0,0.732,0
0,0,0,0.0,0.733,0
0,0,0,0.0,0.53,0
0,0,0,0.0,0.922,0
88,5,82,120.39,0.731,0
71,21,150,167.28,0.707,0
52,50,123,142.59,0.713,0
43,13,60,74.95,0.716,0
21,16,52,58.32,0.709,0
0,0,0,0.0,0.712,0
0,0,0,0.0,0.559,0
0,0,0,0.0,0.871,0
0,0,0,0.0,0.698,0
0,0,0,0.0,0.75,0
0,0,0,0.0,0.729,0
0,0,0,0.0,0.734,0
0,0,0,0.0,0.721,0
0,0,0,0.0,0.723,0
0,0,0,0.0,0.711,0
0,0,0,0.0,0.696,0
0,0,0,0.0,0.696,0
0,0,0,0.0,0.701,0
0,0,0,0.0,0.719,0
0,0,0,0.0,0.716,0
0,0,0,0.0,0.722,0
0,0,0,0.0,0.727,0
0,0,0,0.0,0.728,0
0,0,0,0.0,0.417,0
0,0,0,0.0,0.3,0
0,0,0,0.0,0.735,0
0,0,0,0.0,0.671,0
0,0,0,0.0,0.358,0
0,0,0,0.0,0.453,0
0,0,0,0.0,0.307,0
0,0,0,0.0,0.399,0
0,0,0,0.0,0.388,0
0,0,0,0.0,0.284,0
0,0,0,0.0,0.268,0
0,0,0,0.0,0.269,0
0,0,0,0.0,0.275,0
0,0,0,0.0,2.168,0
0,0,0,0.0,0.281,0
0,0,0,0.0,0.269,0
0,0,0,0.0,0.399,0
0,0,0,0.0,0.293,0
0,0,0,0.0,0.302,0
0,0,0,0.0,0.796,0
0,0,0,0.0,0.277,0
0,0,0,0.0,0.452,0
0,0,0,0.0,5.237,0
0,0,0,0.0,0.655,0
0,0,0,0.0,0.397,0
0,0,0,0.0,0.34,0
0,0,0,0.0,0.266,0
0,0,0,0.0,0.287,0
0,0,0,0.0,3.979,0
0,0,0,0.0,0.73,0
0,0,0,0.0,0.722,0
0,0,0,0.0,0.724,0
0,0,0,0.0,0.739,0
0,0,0,0.0,0.745,0
0,0,0,0.0,0.743,0
0,0,0,0.0,0.729,0
0,0,0,0.0,0.337,0
0,0,0,0.0,0.632,0
0,0,0,0.0,0.484,0
0,0,0,0.0,0.255,0
0,0,0,0.0,0.805,0
0,0,0,0.0,2.847,0
0,0,0,0.0,0.685,0
0,0,0,0.0,0.343,0
13,0,12,17.69,0.37,0
60,57,43,93.26,0.694,0
36,64,90,116.16,0.309,0
77,8,144,163.49,0.257,0
108,28,92,144.61,0.291,0
62,51,134,156.21,1.84,0
4,0,88,88.09,0.349,0
0,0,25,25.0,0.306,0
0,0,0,0.0,0.288,0
0,0,0,0.0,0.275,0
0,0,0,0.0,0.445,0
7,0,0,7.0,1.148,0
0,0,0,0.0,0.638,0
6,0,0,6.0,0.301,0
5,0,0,5.0,0.427,0
78,150,183,249.14,0.273,0
33,146,164,222.04,1.394,0
55,6,85,101.42,0.342,0
0,0,10,10.0,0.363,0
0,0,0,0.0,0.293,0
0,0,0,0.0,0.273,0
0,0,0,0.0,0.272,0
0,0,0,0.0,0.281,0
0,0,0,0.0,0.433,0
0,0,0,0.0,1.381,0
0,0,0,0.0,1.084,0
0,0,0,0.0,0.304,0
0,0,0,0.0,1.489,0
